1,false,12316
1,true,11354
2,false,15853,16317
2,true,14309,16256
3,false,18518,19055,19073
4,false,24418,24817,24008,24091
5,false,29447,29875,28960,28252,27820
6,false,33869,34004,33303,32631,31633,31041
7,false,38971,39214,38375,37791,36701,35431,34036
8,false,43586,43970,43179,42485,41501,40252,38953,38622
9,false,52430,52685,51984,51396,50430,49101,47899,47601,45768
